neighborhood,price,price_per_m2,rooms,area_m2,floor,max_floors,year,build_material,heating_type,condition
Vilkpėdė,79500,1939,2,41,5,5,2020,brick,electric,fully equipped
Šnipiškės,102000,2582,2,39,5,5,2021,brick,central thermostat,partial decoration
Naujamiestis,68000,3400,1,20,1,1,1980,block house,gas,fully equipped
Pilaitė,75000,1500,2,50,1,1,1999,block house,central,fully equipped
Žirmūnai,279000,2450,5,113,1,1,2013,brick,gas,fully equipped
Fabijoniškės,86000,1830,2,47,3,3,2007,brick,gas,fully equipped
Naujamiestis,120000,3000,1,40,5,5,2008,brick,central thermostat,fully equipped
Žirmūnai,98000,1500,3,65,7,7,1980,brick,central,fully equipped
Žirmūnai,105000,1710,3,61,3,3,1967,block house,central,fully equipped
Fabijoniškės,139000,1520,3,91,14,14,1994,monolithic,central,fully equipped
Šnipiškės,127486,2180,2,58,2,2,2021,brick,aerothermal,partial decoration
Šnipiškės,104785,2195,2,47,2,2,2021,brick,aerothermal,partial decoration
Pilaitė,95000,1360,3,69,6,6,1994,block house,central,fully equipped
Fabijoniškės,175000,1141,6,153,6,6,1995,brick,central thermostat,fully equipped
Žirmūnai,85000,1610,2,52,3,3,2012,brick,gas,fully equipped
Bajorai,137000,2210,2,62,5,5,2007,brick,central thermostat,fully equipped
Karoliniškės,74900,1594,2,47,2,2,1979,block house,central,fully equipped
Rasos,330000,2870,4,115,3,3,2013,block house,central,fully equipped
Naujamiestis,144900,2100,3,69,11,11,1990,brick,central,fully equipped
Rasos,24800,759,2,32,2,2,1900,brick,central,fully equipped
Antakalnis,74000,2533,1,29,5,5,1963,brick,central,fully equipped
Antakalnis,85000,2333,2,36,3,3,1963,brick,central,fully equipped
Senamiestis,159000,3383,3,47,4,4,1958,brick,gas,fully equipped
Justiniškės,79000,1579,2,50,5,5,1984,block house,central,fully equipped
Pilaitė,86000,1194,3,72,4,4,1991,block house,central,partial decoration
